"Date","Marketplace","ASIN","SKU","Name","SalesOrganic","SalesPPC","SalesSponsoredProducts","SalesSponsoredDisplay","UnitsOrganic","UnitsPPC","UnitsSponsoredProducts","UnitsSponsoredDisplay","Refunds","PromoValue","SponsoredProducts","SponsoredDisplay","SponsoredВrands","SponsoredBrandsVideo","Google ads","Facebook ads","GiftWrap","Shipping","RefundCost","Value of returned items","ProductCost Unsellable Refunds","AmazonFees","EstimatedPayout","Cost of Goods","VAT","GrossProfit","NetProfit","Margin","Real ACOS","Sessions","Unit Session Percentage","Ads spend","Sellable Returns %","ROI"
"07.10.2025","Amazon.de","B079KHP96R","LD-DPZO-20Y9","happybrush Aufsteckbürsten für Schallzahnbürste VIBE 2 | Sonic Wechselköpfe 9 St (3x3) Schwarz | Original Ultraschall Ersatzbürsten mit Abgerundeten Borsten | NICHT kompatibel mit VIBE 1 & 3","262,34","164,43","164,43","0,00","8","7","7","0","0","0,00","-16,30","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-121,50","288,97","-94,80","-68,53","125,64","125,64","29,44","3,82","131","11,45","-16,30","0,00","132,53"
"07.10.2025","Amazon.de","B0F9WXD6SL","HB2B345","happybrush® Schallzahnbürste Eco Vibe 3 – ""Die Höhle der Löwen"" – TESTSIEGER – Elektrische Zahnbürste mit 6 Wochen Akku – Ultraschall Zahnbürsten – Black/Mint","723,12","46,18","46,18","0,00","13","1","1","0","1","0,00","-59,84","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-48,36","0,00","0,00","-201,51","459,59","-294,00","-114,06","51,53","51,53","6,70","7,78","401","3,49","-59,84","0,00","17,53"
"07.10.2025","Amazon.de","B08DVC8H6Q","HB2B87","happybrush Natürliche & Vegane Zahnpasta Mix-Pack - Natürliche Zahncreme für gesunde und weisse Zähne ohne Mikroplastik für frischen Atem - Zahnpflege im großen Set (5 x 75ml)","184,54","25,12","25,12","0,00","12","2","2","0","0","0,00","-8,29","-0,47","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-88,81","112,09","-63,28","-33,79","15,02","15,02","7,16","4,18","131","10,69","-8,76","0,00","23,74"
"07.10.2025","Amazon.de","B0DNR6QMG4","HB2B96","happybrush [Testsieger*] Elektrische Zahnbürste Für Kinder inkl. 3 Aufsteckbürsten, Sanfte Reinigung der Kinderzähne, Paw Patrol & Minions Agnes Design Einhorn (Agnes, 1x Set)","565,41","83,94","83,94","0,00","11","2","2","0","0","0,00","-31,51","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-172,95","444,89","-300,82","-103,68","40,39","40,39","6,22","4,85","409","3,18","-31,51","0,00","13,43"
"07.10.2025","Amazon.de","B08DVB85CK","HB2B85","happybrush Naturkosmetik ZahnpastaNatural Fresh mit Minz-Lemon-Geschmack - Zahncreme mit 5-fach Schutz für deine Zähne mit Zink - Ohne Mikroplastik - 5er Pack (5 x 75ml)","194,95","0,00","0,00","0,00","13","0","0","0","0","0,00","-0,85","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-80,98","113,12","-61,49","-31,65","19,98","19,98","10,25","0,44","67","19,40","-0,85","0,00","32,49"
"07.10.2025","Amazon.de","B0798SM15J","HB2B82","happybrush Vegane Zahnpasta SuperWhite Protect mit Spearmint-Geschmack - Whitening Zahnpasta für weisse Zähne - Vorratspack (5 x 75ml)","142,44","37,68","37,68","0,00","9","3","3","0","0","-0,75","-3,22","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-80,99","95,16","-50,76","-29,27","15,13","15,13","8,40","1,79","87","13,79","-3,22","0,00","29,81"
"07.10.2025","Amazon.de","B0CKRTQGRX","HB2B76","Happybrush Zahnpasta Professional Repair & Care Sensitive Care (2er-Pack, Professional Duo Kräuter-Geschmack)","86,52","0,00","0,00","0,00","12","0","0","0","0","-0,35","-2,34","-2,74","-0,10","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-44,58","36,41","-22,44","-13,85","0,12","0,12","0,13","5,99","29","41,38","-5,18","0,00","0,53"
"07.10.2025","Amazon.de","B0854MDNMZ","K2-QDTG-CU7Q","happybrush® Schallzahnbürste Eco Vibe 3 - TESTSIEGER 2024-100 Tage testen - Elektrische Zahnbürste mit 6 Wochen Akku - Ultraschall Zahnbürsten - Inkl. Travelcase & Zahnpasta - White/Mint","549,12","50,38","50,38","0,00","9","1","1","0","0","0,00","-13,57","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-193,12","392,81","-317,70","-95,72","-20,61","-20,61","-3,44","2,26","225","4,44","-13,57","0,00","-6,49"
"07.10.2025","Amazon.de","B0CW6JN4W4","HB2B77","dentural by happybrush Fluoridfreie Zahnpasta Naturkosmetik Zahnpasta Ohne Fluorid mit Minze Geschmack - Mit 5-fach Schutz für frischen Atem - Ohne Mikroplastik - 5er Pack (5 x 75ml)","111,22","0,00","0,00","0,00","7","0","0","0","0","0,00","0,00","0,00","-0,14","0,00","0,00","0,00","0,00","-1,11","0,00","0,00","0,00","-87,09","22,88","-28,28","-17,97","-23,37","-23,37","-21,01","0,13","56","14,29","-0,14","0,00","-82,64"
"07.10.2025","Amazon.de","B08DVC4PX6","HB2B46","happybrush® PROFESSIONAL Repair&Care Zahnpasta mit frischem Kräuter-Geschmack - für sensitive/schmerzempfindliche Zähne - Vegane Zahncreme Vorratspack (5 x 75ml)","73,22","28,48","28,48","0,00","4","2","2","0","0","0,00","-3,95","-0,01","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-45,61","52,13","-22,86","-16,24","13,03","13,03","12,81","3,89","30","20,00","-3,96","0,00","57,00"
